DateTime,Download,DateTime,Upload
2015-07-20 23:23:32.417,0,2015-07-20 23:23:52.952,0
2015-07-20 23:23:33.073,0.01,2015-07-20 23:23:53.096,0
2015-07-20 23:23:33.171,1.15,2015-07-20 23:23:53.566,2.31
2015-07-20 23:23:33.291,0.02,2015-07-20 23:23:53.685,4.76
2015-07-20 23:23:33.406,2.31,2015-07-20 23:23:53.807,7.21
2015-07-20 23:23:33.584,0.02,2015-07-20 23:23:53.879,8.79
2015-07-20 23:23:33.754,4.61,2015-07-20 23:23:54.016,11.1
2015-07-20 23:23:34.041,0.01,2015-07-20 23:23:54.095,13.55
2015-07-20 23:23:34.225,9.23,2015-07-20 23:23:54.217,14.28
2015-07-20 23:23:34.379,0.02,2015-07-20 23:23:54.289,14.78
2015-07-20 23:23:34.686,12.09,2015-07-20 23:23:54.419,14.07
2015-07-20 23:23:34.912,18.45,2015-07-20 23:23:54.421,13.93
2015-07-20 23:23:34.930,18.45,2015-07-20 23:23:54.504,0
2015-07-20 23:23:35.089,0.01,2015-07-20 23:23:54.583,0.29
2015-07-20 23:23:35.411,11.91,2015-07-20 23:23:54.717,2.16
2015-07-20 23:23:35.665,20.98,2015-07-20 23:23:54.836,4.47
2015-07-20 23:23:35.773,25.5,2015-07-20 23:23:54.988,6.63
2015-07-20 23:23:35.923,29.35,2015-07-20 23:23:55.117,11.1
2015-07-20 23:23:36.036,31.5,2015-07-20 23:23:55.189,13.41
2015-07-20 23:23:36.147,31.23,2015-07-20 23:23:55.310,15.28
2015-07-20 23:23:36.324,0.01,2015-07-20 23:23:55.383,17.3
2015-07-20 23:23:36.585,10.22,2015-07-20 23:23:55.500,19.03
2015-07-20 23:23:36.733,15.71,2015-07-20 23:23:55.628,19.17
2015-07-20 23:23:36.830,18.38,2015-07-20 23:23:55.697,20.11
2015-07-20 23:23:36.928,23.31,2015-07-20 23:23:55.820,20
2015-07-20 23:23:37.082,27.81,2015-07-20 23:23:55.893,20.3
2015-07-20 23:23:37.230,28.72,2015-07-20 23:23:56.017,20.16
2015-07-20 23:23:37.413,32.03,2015-07-20 23:23:56.094,20.64
2015-07-20 23:23:37.514,31.56,2015-07-20 23:23:56.240,20.21
2015-07-20 23:23:37.652,31.48,2015-07-20 23:23:56.382,19.77
2015-07-20 23:23:37.747,32.63,2015-07-20 23:23:56.383,19.64
2015-07-20 23:23:37.821,32.66,2015-07-20 23:23:56.434,0
2015-07-20 23:23:37.954,32.35,2015-07-20 23:23:56.508,0.29
2015-07-20 23:23:38.144,32.37,2015-07-20 23:23:56.627,3.03
2015-07-20 23:23:38.330,32.87,2015-07-20 23:23:56.696,5.33
2015-07-20 23:23:38.452,32,2015-07-20 23:23:56.826,7.5
2015-07-20 23:23:38.465,32.25,2015-07-20 23:23:56.895,9.8
2015-07-20 23:23:38.558,0.01,2015-07-20 23:23:57.018,12.11
2015-07-20 23:23:38.679,2.98,2015-07-20 23:23:57.096,14.27
2015-07-20 23:23:38.810,7.57,2015-07-20 23:23:57.229,16.58
2015-07-20 23:23:39.041,14.38,2015-07-20 23:23:57.299,18.31
2015-07-20 23:23:39.194,21.78,2015-07-20 23:23:57.433,20.62
2015-07-20 23:23:39.303,26.06,2015-07-20 23:23:57.560,20.58
2015-07-20 23:23:39.413,28.08,2015-07-20 23:23:57.632,21.12
2015-07-20 23:23:39.522,31.76,2015-07-20 23:23:57.695,21.65
2015-07-20 23:23:39.646,32.21,2015-07-20 23:23:57.828,21.27
2015-07-20 23:23:39.815,31.86,2015-07-20 23:23:57.896,21.86
2015-07-20 23:23:40.041,31.29,2015-07-20 23:23:58.023,21.56
2015-07-20 23:23:40.172,31.87,2015-07-20 23:23:58.136,21.47
2015-07-20 23:23:40.310,32.86,2015-07-20 23:23:58.215,21.81
2015-07-20 23:23:40.399,32.54,2015-07-20 23:23:58.344,21.5
2015-07-20 23:23:40.556,32.91,2015-07-20 23:23:58.422,21.74
2015-07-20 23:23:40.674,32.82,2015-07-20 23:23:58.552,21.28
2015-07-20 23:23:40.864,32.65,2015-07-20 23:23:58.635,21.18
2015-07-20 23:23:41.076,32.41,2015-07-20 23:23:58.743,20.7
2015-07-20 23:23:41.239,33.2,2015-07-20 23:23:58.854,19.93
2015-07-20 23:23:41.395,33.06,2015-07-20 23:23:59.042,18.97
2015-07-20 23:23:41.506,32.57,2015-07-20 23:23:59.107,19.33
2015-07-20 23:23:41.719,33.21,2015-07-20 23:23:59.216,19.39
2015-07-20 23:23:42.040,33.26,2015-07-20 23:23:59.305,19.24
2015-07-20 23:23:42.203,33.08,2015-07-20 23:23:59.426,18.85
2015-07-20 23:23:42.319,32.7,2015-07-20 23:23:59.549,18.5
2015-07-20 23:23:42.429,33.27,2015-07-20 23:23:59.618,18.45
2015-07-20 23:23:42.543,33.47,2015-07-20 23:23:59.753,18.06
2015-07-20 23:23:42.638,33.3,2015-07-20 23:23:59.828,18.09
2015-07-20 23:23:42.894,33.47,2015-07-20 23:23:59.922,18.28
2015-07-20 23:23:43.007,32.68,2015-07-20 23:24:00.053,17.87
2015-07-20 23:23:43.097,0.02,2015-07-20 23:24:00.124,17.82
2015-07-20 23:23:43.272,5.13,2015-07-20 23:24:00.252,17.53
2015-07-20 23:23:43.423,10.6,2015-07-20 23:24:00.326,17.49
2015-07-20 23:23:43.505,12.84,2015-07-20 23:24:00.462,17.18
2015-07-20 23:23:43.615,16.81,2015-07-20 23:24:00.528,17.23
2015-07-20 23:23:43.804,22.71,2015-07-20 23:24:00.635,17.11
2015-07-20 23:23:44.044,28.62,2015-07-20 23:24:00.762,16.87
2015-07-20 23:23:44.222,31.56,2015-07-20 23:24:00.842,16.8
2015-07-20 23:23:44.429,32.26,2015-07-20 23:24:00.843,16.75
2015-07-20 23:23:44.528,31.75,2015-07-20 23:24:00.911,0
2015-07-20 23:23:44.655,31.91,2015-07-20 23:24:01.241,1.3
2015-07-20 23:23:44.827,32.33,2015-07-20 23:24:01.373,3.46
2015-07-20 23:23:45.114,32.22,2015-07-20 23:24:01.447,5.33
2015-07-20 23:23:45.287,32.21,2015-07-20 23:24:01.572,7.79
2015-07-20 23:23:45.447,33.05,2015-07-20 23:24:01.646,10.09
2015-07-20 23:23:45.578,32.5,2015-07-20 23:24:01.774,12.11
2015-07-20 23:23:45.699,33.06,2015-07-20 23:24:01.873,14.56
2015-07-20 23:23:46.041,32.7,2015-07-20 23:24:01.943,16.7
2015-07-20 23:23:46.294,32.9,2015-07-20 23:24:02.076,17.05
2015-07-20 23:23:46.446,33.07,2015-07-20 23:24:02.149,17.42
2015-07-20 23:23:46.556,32.75,2015-07-20 23:24:02.277,17.6
2015-07-20 23:23:46.654,33.2,2015-07-20 23:24:02.380,18
2015-07-20 23:23:46.840,32.98,2015-07-20 23:24:02.525,17.83
2015-07-20 23:23:47.045,33.19,2015-07-20 23:24:02.654,18.96
2015-07-20 23:23:47.196,33.19,2015-07-20 23:24:02.785,18.87
2015-07-20 23:23:47.309,32.82,2015-07-20 23:24:02.854,19.46
2015-07-20 23:23:47.452,32.98,2015-07-20 23:24:02.986,19.05
2015-07-20 23:23:47.603,33.09,2015-07-20 23:24:03.042,19.76
2015-07-20 23:23:47.776,32.87,2015-07-20 23:24:03.174,19.64
2015-07-20 23:23:47.956,33.25,2015-07-20 23:24:03.251,20.05
2015-07-20 23:23:48.093,33.15,2015-07-20 23:24:03.387,19.96
2015-07-20 23:23:48.206,33.31,2015-07-20 23:24:03.462,20.04
2015-07-20 23:23:48.341,33.24,2015-07-20 23:24:03.592,19.99
2015-07-20 23:23:48.546,33.4,2015-07-20 23:24:03.724,19.94
2015-07-20 23:23:48.686,33.4,2015-07-20 23:24:03.864,19.76
2015-07-20 23:23:48.811,33.55,2015-07-20 23:24:03.991,20.3
2015-07-20 23:23:48.931,33.22,2015-07-20 23:24:04.063,20.61
2015-07-20 23:23:49.151,33.4,2015-07-20 23:24:04.196,20.52
2015-07-20 23:23:49.293,33.47,2015-07-20 23:24:04.269,20.77
2015-07-20 23:23:49.429,33.56,2015-07-20 23:24:04.412,20.45
2015-07-20 23:23:49.566,33.57,2015-07-20 23:24:04.486,20.72
2015-07-20 23:23:49.674,33.36,2015-07-20 23:24:04.565,20.94
2015-07-20 23:23:49.866,33.4,2015-07-20 23:24:04.707,20.77
2015-07-20 23:23:50.077,33.46,2015-07-20 23:24:04.788,20.84
2015-07-20 23:23:50.230,33.43,2015-07-20 23:24:04.918,20.75
2015-07-20 23:23:50.413,33.32,2015-07-20 23:24:04.989,20.94
2015-07-20 23:23:50.547,33.35,2015-07-20 23:24:05.110,20.82
2015-07-20 23:23:50.701,33.46,2015-07-20 23:24:05.177,21.07
2015-07-20 23:23:50.941,33.52,2015-07-20 23:24:05.300,21.04
2015-07-20 23:23:51.064,33.57,2015-07-20 23:24:05.368,21.23
2015-07-20 23:23:51.223,33.49,2015-07-20 23:24:05.487,21.11
2015-07-20 23:23:51.316,33.39,2015-07-20 23:24:05.580,21.17
2015-07-20 23:23:51.443,33.43,2015-07-20 23:24:05.710,21.11
2015-07-20 23:23:51.652,33.4,2015-07-20 23:24:05.799,21.2
2015-07-20 23:23:51.853,33.47,2015-07-20 23:24:05.871,21.4
